"resource_name","delivery_date","hour_ending","min_gen_cost"
"AEEC_ANTLP_2","2023-03-26 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-03-27 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-03-28 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-03-30 00:00:00",16,"30.9800000000"
"AEEC_ANTLP_2","2023-03-31 00:00:00",16,"27.5300000000"
"AEEC_ANTLP_2","2023-04-01 00:00:00",16,"19.6400000000"
"AEEC_ANTLP_2","2023-04-02 00:00:00",16,"19.6100000000"
"AEEC_ANTLP_2","2023-04-03 00:00:00",16,"19.5800000000"
"AEEC_ANTLP_2","2023-04-08 00:00:00",16,"28.9100000000"
"AEEC_ANTLP_2","2023-04-04 00:00:00",16,"29.1100000000"
"AEEC_ANTLP_2","2023-04-05 00:00:00",16,"30.5900000000"
"AEEC_ANTLP_2","2023-04-06 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-04-07 00:00:00",16,"30.1600000000"
"AEEC_ANTLP_2","2023-04-14 00:00:00",16,"24.8800000000"
"AEEC_ANTLP_2","2023-04-09 00:00:00",16,"28.9100000000"
"AEEC_ANTLP_2","2023-04-10 00:00:00",16,"28.9100000000"
"AEEC_ANTLP_2","2023-04-11 00:00:00",16,"22.3300000000"
"AEEC_ANTLP_2","2023-04-12 00:00:00",16,"21.0200000000"
"AEEC_ANTLP_2","2023-04-13 00:00:00",16,"26.1200000000"
"AEEC_ANTLP_2","2023-04-15 00:00:00",16,"24.6500000000"
"AEEC_ANTLP_2","2023-04-19 00:00:00",16,"30.3800000000"
"AEEC_ANTLP_2","2023-04-16 00:00:00",16,"23.8600000000"
"AEEC_ANTLP_2","2023-04-17 00:00:00",16,"23.8600000000"
"AEEC_ANTLP_2","2023-04-18 00:00:00",16,"29.5200000000"
"AEEC_ANTLP_2","2023-04-20 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-04-23 00:00:00",16,"29.8100000000"
"AEEC_ANTLP_2","2023-04-21 00:00:00",16,"28.0900000000"
"AEEC_ANTLP_2","2023-04-22 00:00:00",16,"25.1500000000"
"AEEC_ANTLP_2","2023-04-25 00:00:00",16,"37.1500000000"
"AEEC_ANTLP_2","2023-04-24 00:00:00",16,"29.8100000000"
"AEEC_ANTLP_2","2023-04-26 00:00:00",16,"40.0000000000"
"AEEC_ANTLP_2","2023-04-29 00:00:00",16,"35.7900000000"
"AEEC_ANTLP_2","2023-04-27 00:00:00",16,"39.8000000000"
"AEEC_ANTLP_2","2023-04-28 00:00:00",16,"38.2000000000"
"AEEC_ANTLP_2","2023-05-02 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-04-30 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-05-01 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-05-03 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-05-05 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-05-04 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-05-07 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-05-06 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-05-08 00:00:00",16,"24.5000000000"
"AEEC_ANTLP_2","2023-05-09 00:00:00",16,"9.4000000000"
"AEEC_ANTLP_2","2023-05-10 00:00:00",16,"8.3600000000"
"AEEC_ANTLP_2","2023-05-11 00:00:00",16,"14.2000000000"
"AEEC_ANTLP_2","2023-05-14 00:00:00",16,"25.3900000000"
"AEEC_ANTLP_2","2023-05-12 00:00:00",16,"20.7300000000"
